,SAMPN,CTFIP,BIN,RESTY,HHSIZ,INCOM,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,GEO_GROUP1,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC
0,3000056,9001,1,1,6,5,3,4,4,4,2,1,1510.0,BROOKFIELD,,Brookfield town,CT,6804,2626,9001205100,6,4,3,3,1
1,3000128,36027,14,1,5,4,2,3,3,3,2,1,178.2,RED HOOK,RED HOOK VILLAGE,Red Hook town,NY,12571,2438,36027150006,5,4,2,2,1
2,3000139,34027,17,1,2,99,2,0,0,2,0,1,236.125,LAKE HOPATCONG,,Jefferson township,NJ,7849,3157,34027044701,9,2,9,2,6
3,3000146,34027,20,1,1,5,1,0,1,1,0,1,170.47059,MORRIS PLAINS,,Parsippany-Troy Hills township,NJ,7950,3172,34027041601,9,1,3,1,4
4,3000157,34017,19,2,1,1,0,0,0,0,0,1,115.73333,NORTH BERGEN,,North Bergen township,NJ,7047,2852,34017014502,8,1,1,0,6
5,3000239,36087,21,1,2,99,1,0,0,2,0,1,62.48485,SUFFERN,POMONA VILLAGE,Ramapo town,NY,10901,2284,36087011501,4,2,9,1,6
6,3000250,36059,18,2,1,3,1,0,0,1,0,1,226.0,LONG BEACH,LONG BEACH CITY,Long Beach city,NY,11561,1799,36059416802,3,1,2,1,6
7,3000275,36059,5,1,2,4,1,0,0,2,0,1,615.25,VALLEY STREAM,VALLEY STREAM VILLAGE,Hempstead town,NY,11580,1733,36059410600,3,2,2,1,6
8,3000296,36047,3,2,1,1,0,0,0,0,0,1,1325.0,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11225,1285,36047080200,2,1,1,0,6
9,3000403,36081,4,2,1,2,0,0,0,1,0,1,381.0,NEW YORK,NEW YORK CITY,Queens borough,NY,11377,377,36081029300,2,1,1,0,6
10,3000407,34021,16,1,2,6,2,0,2,2,0,1,132.45455,PRINCETON,,Princeton township,NJ,8540,3581,34021004203,12,2,4,2,2
11,3000448,34023,12,1,3,7,5,0,3,3,0,1,360.0,OLD BRIDGE,OLD BRIDGE CDP,Old Bridge township,NJ,8857,3218,34023007805,9,3,4,3,2
12,3000451,36103,16,1,4,3,1,3,0,1,3,1,292.2,SAYVILLE,SAYVILLE CDP,Islip town,NY,11782,2000,36103147802,3,4,2,1,6
13,3000486,36119,14,2,2,7,2,0,1,2,0,1,196.83333,HARTSDALE,HARTSDALE CDP,Greenburgh town,NY,10530,2160,36119010804,4,2,4,2,4
14,3000490,36061,6,2,1,3,0,0,0,0,0,1,101.64516,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10034,278,36061029500,1,1,2,0,6
15,3000498,36081,12,1,2,3,0,0,0,2,0,1,166.33333,NEW YORK,NEW YORK CITY,Queens borough,NY,11428,697,36081056600,2,2,2,0,6
16,3000552,34029,20,1,2,4,2,0,0,2,0,1,156.69231,TOMS RIVER,TOMS RIVER CDP,Toms River township,NJ,8753,3289,34029723200,10,2,2,2,6
17,3000568,9001,1,1,4,4,2,2,1,2,2,1,346.5,DANBURY,DANBURY CITY,Danbury town,CT,6811,2637,9001210900,6,4,2,2,3
18,3000598,34017,18,2,1,2,0,0,0,0,0,1,178.0,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,7307,2748,34017000200,8,1,1,0,6
19,3000614,34025,14,1,3,5,3,1,3,3,0,1,519.33333,WEST LONG BRANCH,WEST LONG BRANCH BOROUGH,West Long Branch borough,NJ,7764,3281,34025806202,10,3,3,3,2
20,3000616,36061,20,2,1,4,1,0,1,1,0,1,49.0566,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10075,193,36061013800,1,1,2,1,4
21,3000636,34041,17,1,3,7,3,0,3,3,0,1,228.61538,HACKETTSTOWN,BEATTYSTOWN CDP,Mansfield township,NJ,7840,3356,34041031500,11,3,4,3,2
22,3000678,34013,6,1,2,3,1,1,0,1,0,1,622.5,EAST ORANGE,EAST ORANGE CITY,East Orange city,NJ,7018,3014,34013011600,8,2,2,1,6
23,3000686,36047,8,2,1,1,0,0,0,0,0,1,508.25,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11214,1330,36047029600,2,1,1,0,6
24,3000688,34003,15,1,2,6,2,0,2,2,0,1,377.6,HILLSDALE,HILLSDALE BOROUGH,Hillsdale borough,NJ,7642,2687,34003026200,7,2,4,2,2
25,3000696,9001,13,1,1,3,1,0,1,1,0,1,230.16667,STRATFORD,STRATFORD CDP,Stratford town,CT,6615,2594,9001080500,6,1,2,1,4
26,3000711,34035,17,2,1,2,0,0,0,0,0,1,200.0,BRIDGEWATER,GREEN KNOLL CDP,Bridgewater township,NJ,8807,3188,34035050802,9,1,1,0,6
27,3000716,34041,17,1,2,4,2,0,0,2,0,1,244.125,HACKETTSTOWN,PANTHER VALLEY CDP,Allamuchy township,NJ,7840,3341,34041031302,11,2,2,2,6
28,3000727,34039,21,1,3,4,1,2,1,1,2,1,65.93333,NEW PROVIDENCE,,Berkeley Heights township,NJ,7974,3123,34039038201,8,3,2,1,3
29,3000749,36085,17,1,2,7,2,0,1,2,0,1,336.75,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10308,1607,36085014605,2,2,4,2,4
30,3000751,36103,12,1,3,4,3,1,2,2,1,1,256.11111,BAY SHORE,BAY SHORE CDP,Islip town,NY,11706,1989,36103147200,3,3,2,3,1
31,3000773,34037,21,1,3,3,4,2,1,2,1,1,81.52,HIGHLAND LAKES,HIGHLAND LAKE CDP,Vernon township,NJ,7422,3385,34037371502,11,3,2,3,3
32,3000783,34029,15,1,7,1,1,4,0,2,5,1,324.71429,LAKEWOOD,LAKEWOOD CDP,Lakewood township,NJ,8701,3296,34029715200,10,4,1,1,5
33,3000801,34025,1,1,4,8,4,2,1,2,2,1,1612.0,PERRINEVILLE,,Millstone township,NJ,8535,3261,34025812502,10,4,4,3,3
34,3000809,34003,3,1,2,5,2,0,2,2,0,1,1240.0,EMERSON,EMERSON BOROUGH,Emerson borough,NJ,7630,2674,34003014000,7,2,3,2,2
