,SAMPN,RESTY,HHSIZ,HHLIC,INCOM_R,HHVEH_R
0,3000056,1,6,4,3,3
1,3000128,1,5,3,2,2
2,3000139,1,2,2,9,2
3,3000146,1,1,1,3,1
4,3000157,2,1,0,1,0
5,3000239,1,2,2,9,1
6,3000250,2,1,1,2,1
7,3000275,1,2,2,2,1
8,3000296,2,1,0,1,0
9,3000403,2,1,1,1,0
10,3000407,1,2,2,4,2
11,3000448,1,3,3,4,3
12,3000451,1,4,1,2,1
13,3000486,2,2,2,4,2
14,3000490,2,1,0,2,0
15,3000498,1,2,2,2,0
16,3000552,1,2,2,2,2
17,3000568,1,4,2,2,2
18,3000598,2,1,0,1,0
19,3000614,1,3,3,3,3
20,3000616,2,1,1,2,1
21,3000636,1,3,3,4,3
22,3000678,1,2,1,2,1
23,3000686,2,1,0,1,0
24,3000688,1,2,2,4,2
25,3000696,1,1,1,2,1
26,3000711,2,1,0,1,0
27,3000716,1,2,2,2,2
28,3000727,1,3,1,2,1
29,3000749,1,2,2,4,2
30,3000751,1,3,2,2,3
31,3000773,1,3,2,2,3
32,3000783,1,7,2,1,1
33,3000801,1,4,2,4,3
34,3000809,1,2,2,3,2
35,3000815,2,1,1,1,1
36,3000827,1,1,1,2,1
37,3000898,1,1,0,2,0
38,3000938,1,3,3,4,3
39,3001002,1,2,0,9,0
40,3001008,1,1,0,3,0
41,3001048,1,2,2,9,2
42,3001059,2,1,0,2,0
43,3001069,1,2,2,4,2
44,3001073,1,2,2,3,2
45,3001135,1,2,2,4,2
46,3001161,1,2,2,2,2
47,3001181,1,2,2,9,1
48,3001190,2,1,1,1,0
49,3001218,1,2,2,2,2
50,3001293,2,2,2,4,0
51,3001312,1,4,2,9,2
52,3001332,1,1,1,2,1
53,3001346,2,2,2,3,2
54,3001413,1,2,2,9,2
55,3001535,1,2,2,4,1
56,3001559,2,1,1,2,2
57,3001621,2,1,1,1,0
58,3001622,2,1,1,1,0
59,3001623,1,4,2,4,2
60,3001633,1,4,2,2,2
61,3001654,1,1,1,2,1
62,3001670,2,2,0,4,0
63,3001676,1,3,3,4,3
64,3001732,2,2,1,2,1
65,3001737,1,2,2,4,3
66,3001754,1,2,2,3,2
67,3001776,2,3,2,4,2
68,3001818,2,2,1,1,0
69,3001846,2,1,1,1,1
70,3001865,2,1,1,3,1
71,3001974,1,2,2,4,2
72,3001982,1,1,1,2,1
73,3001998,1,4,2,3,2
74,3002021,1,3,1,9,2
75,3002067,1,2,2,2,2
76,3002068,1,2,2,3,3
77,3002077,2,1,1,1,1
78,3002080,2,1,0,1,0
79,3002081,3,2,2,2,2
80,3002167,2,1,1,1,1
81,3002177,1,3,3,4,2
82,3002183,1,2,1,4,2
83,3002200,1,3,3,4,3
84,3002228,1,1,0,1,3
85,3002244,1,3,2,4,2
86,3002280,1,4,4,4,3
87,3002296,2,2,0,9,0
88,3002372,1,2,2,2,2
89,3002420,1,2,2,4,3
90,3002445,2,1,1,2,0
91,3002497,2,2,2,4,1
92,3002564,1,2,2,2,1
93,3002565,2,1,0,1,0
94,3002585,1,4,2,4,2
95,3002595,1,2,2,2,2
96,3002707,1,4,1,1,1
97,3002780,1,4,2,3,1
98,3002789,1,2,2,4,2
99,3002880,1,2,2,3,2
100,3002976,1,3,3,4,3
101,3003004,1,4,3,4,2
102,3003034,2,1,1,3,1
103,3003041,2,1,0,2,0
104,3003043,2,1,0,1,0
105,3003044,1,4,4,4,3
106,3003061,1,4,3,3,2
107,3003086,1,3,3,3,3
108,3003097,1,2,2,4,3
109,3003113,3,1,1,9,1
110,3003130,2,2,2,2,2
111,3003166,2,1,1,9,0
112,3003178,1,3,2,4,3
113,3003180,1,1,1,2,1
114,3003209,1,5,2,4,2
115,3003227,1,2,2,2,3
116,3003250,2,1,1,2,1
117,3003257,1,2,2,4,2
118,3003264,1,4,2,4,3
119,3003306,1,2,2,4,2
120,3003338,2,3,3,3,2
121,3003373,2,1,1,1,1
122,3003394,2,1,1,3,2
123,3003400,2,4,2,1,1
124,3003410,1,2,2,2,2
125,3003421,1,3,3,4,3
126,3003434,2,1,0,1,0
127,3003501,1,2,1,4,1
128,3003526,1,4,2,2,2
129,3003529,1,4,2,4,2
130,3003546,2,2,2,1,1
131,3003559,1,2,2,3,3
132,3003572,2,1,1,2,1
133,3003636,1,2,2,4,2
134,3003680,1,1,1,2,1
135,3003698,1,2,2,4,2
136,3003726,2,5,4,2,3
137,3003778,1,2,2,4,1
138,3003780,2,1,1,9,0
139,3003786,1,5,2,4,2
140,3003835,2,3,2,4,1
141,3003862,1,2,2,4,2
142,3003866,2,1,1,1,1
143,3003902,3,1,0,1,0
144,3003910,1,2,2,4,3
145,3003926,2,1,1,2,1
146,3003940,1,2,2,2,2
147,3004022,2,1,1,1,0
148,3004077,2,5,2,2,1
149,3004100,1,1,1,4,2
150,3004103,2,2,1,4,0
151,3004108,1,2,1,4,2
152,3004127,1,1,1,2,1
153,3004149,1,2,2,4,3
154,3004205,1,2,2,2,2
155,3004212,2,1,0,2,0
156,3004262,1,2,2,3,3
157,3004320,1,3,2,3,3
158,3004323,1,2,2,9,3
159,3004324,2,1,1,1,0
160,3004377,2,1,0,1,0
161,3004404,2,2,2,4,2
162,3004432,1,2,2,2,3
163,3004471,2,2,0,1,0
164,3004475,1,3,2,2,2
165,3004508,1,2,2,3,2
166,3004548,1,3,2,2,3
167,3004565,1,2,2,9,3
168,3004575,1,3,3,4,3
169,3004576,1,1,1,4,2
170,3004596,2,1,1,3,1
171,3004703,2,1,0,2,0
172,3004717,1,1,1,3,1
173,3004725,1,2,2,2,2
174,3004738,2,1,1,3,2
175,3004769,1,1,1,4,1
176,3004771,1,3,2,4,2
177,3004829,1,2,2,4,3
178,3004834,1,2,2,4,2
179,3004872,1,2,2,9,2
180,3004875,1,5,2,4,2
181,3004900,2,1,1,2,2
182,3004918,1,3,3,4,3
183,3004926,1,2,2,4,2
184,3004970,1,3,2,4,2
185,3005003,1,2,2,2,3
186,3005009,1,1,1,3,1
187,3005010,2,2,0,2,0
188,3005033,1,2,2,4,3
189,3005073,1,2,2,9,3
190,3005084,2,1,1,2,0
191,3005103,2,1,0,2,0
192,3005112,2,1,1,2,0
193,3005166,1,2,2,4,3
194,3005201,1,1,1,4,2
195,3005229,2,1,1,4,0
196,3005265,1,4,4,4,3
197,3005281,1,5,2,4,2
198,3005320,2,1,1,1,1
199,3005332,1,3,2,4,2
200,3005350,2,1,1,2,1
201,3005387,1,2,2,2,2
202,3005463,2,1,0,1,0
203,3005470,2,1,1,4,1
204,3005498,2,4,2,4,1
205,3005531,1,3,3,4,3
206,3005593,1,4,2,3,2
207,3005632,1,4,4,2,3
208,3005742,2,3,0,2,0
209,3005773,1,3,2,4,2
210,3005843,2,1,0,1,0
211,3005845,2,2,2,3,2
212,3005862,2,2,1,1,0
213,3005914,1,3,2,3,2
214,3005964,2,3,1,1,1
215,3005966,2,1,0,1,0
216,3006004,1,2,2,4,3
217,3006020,2,1,0,1,0
218,3006085,1,4,1,4,2
219,3006086,1,1,1,4,1
220,3006087,2,1,1,2,1
221,3006121,2,2,2,4,2
222,3006140,1,2,2,2,3
223,3006177,1,2,2,9,2
224,3006188,1,2,2,2,2
225,3006215,1,3,2,4,2
226,3006223,2,2,2,3,2
227,3006225,2,1,1,1,0
228,3006250,2,2,2,4,1
229,3006294,1,2,2,4,2
230,3006309,1,1,1,2,1
231,3006311,1,2,1,2,1
232,3006332,2,1,1,2,1
233,3006342,1,1,1,1,1
234,3006364,1,4,2,4,1
235,3006443,1,2,2,2,2
236,3006475,1,2,2,2,1
237,3006480,1,2,1,3,1
238,3006493,2,3,1,4,0
239,3006524,1,2,2,3,3
240,3006550,1,3,3,2,3
241,3006555,1,3,2,3,3
242,3006570,2,2,2,1,2
243,3006648,2,1,1,2,1
244,3006705,2,1,0,1,0
245,3006738,2,4,2,2,1
246,3006746,1,1,1,2,1
247,3006764,2,1,1,1,0
248,3006797,2,1,0,1,0
249,3006935,2,1,1,2,1
250,3006946,2,2,2,4,2
251,3006996,1,4,1,2,1
252,3007042,2,2,2,3,1
253,3007062,2,1,1,9,0
254,3007098,2,2,2,4,1
255,3007168,1,7,2,4,2
256,3007219,2,1,0,1,0
257,3007266,1,2,1,4,1
258,3007270,1,2,2,4,2
259,3007279,1,2,2,4,3
260,3007287,2,1,1,2,2
261,3007289,2,1,0,1,0
262,3007290,2,1,1,3,1
263,3007335,2,1,1,4,1
264,3007360,2,2,1,4,1
265,3007387,1,2,2,9,2
266,3007423,3,6,1,2,1
267,3007435,2,3,2,4,0
268,3007477,2,5,4,1,1
269,3007538,2,2,2,4,1
270,3007562,2,1,1,2,0
271,3007600,1,2,2,1,2
272,3007686,2,2,1,3,1
273,3007705,1,3,2,3,2
274,3007713,2,1,1,1,1
275,3007741,1,3,2,4,2
276,3007760,1,4,4,4,3
277,3007762,2,2,1,4,0
278,3007779,1,1,1,2,2
279,3007809,2,4,2,4,0
280,3007843,2,3,2,4,1
281,3007849,2,4,2,2,2
282,3007853,1,3,3,2,3
283,3007891,1,5,2,4,3
284,3007897,1,2,2,3,3
285,3007925,2,2,2,3,2
286,3007985,1,1,1,1,1
287,3008012,1,1,1,3,1
288,3008057,1,2,2,9,1
289,3008088,1,3,3,2,2
290,3008126,1,2,2,9,2
291,3008128,2,2,1,2,1
292,3008137,1,2,2,2,2
293,3008139,2,2,1,2,0
294,3008143,2,2,2,2,1
295,3008227,1,2,2,2,1
296,3008255,1,4,2,4,3
297,3008271,1,2,2,9,2
298,3008325,1,2,1,4,2
299,3008328,1,1,1,2,1
300,3008407,2,1,1,1,0
301,3008410,1,3,2,3,2
302,3008419,2,2,2,2,2
303,3008430,1,1,1,1,1
304,3008434,2,3,2,9,2
305,3008456,1,1,1,2,1
306,3008458,1,2,2,2,2
307,3008527,1,3,2,2,2
308,3008548,2,1,1,1,0
309,3008555,2,1,1,3,1
310,3008565,1,4,2,9,2
311,3008573,2,1,1,2,0
312,3008633,2,2,1,1,0
313,3008637,2,2,2,2,2
314,3008683,1,2,2,2,2
315,3008688,1,3,2,4,3
316,3008725,1,3,3,4,3
317,3008748,1,2,2,3,2
318,3008787,1,1,1,2,1
319,3008806,1,2,2,9,2
320,3008817,1,2,2,4,3
321,3008827,1,1,1,1,0
322,3008900,1,4,4,4,3
323,3008932,1,2,2,4,3
324,3008945,1,4,2,3,3
325,3008948,2,1,1,2,1
326,3008954,1,2,1,4,1
327,3008963,1,3,2,4,2
328,3008972,2,2,1,2,1
329,3009053,1,3,2,2,2
330,3009105,1,2,2,4,2
331,3009129,1,1,1,9,1
332,3009172,1,2,2,3,2
333,3009255,2,1,1,3,0
334,3009259,2,1,1,4,0
335,3009319,2,1,1,1,0
336,3009338,1,4,2,4,2
337,3009429,1,2,2,4,3
338,3009434,1,1,1,4,2
339,3009487,1,4,1,1,1
340,3009506,2,2,2,4,1
341,3009508,1,2,0,2,0
342,3009522,1,1,1,9,2
343,3009583,2,2,2,4,2
344,3009587,1,2,2,4,3
345,3009609,1,2,2,2,2
346,3009626,2,1,1,3,0
347,3009646,1,1,1,2,1
